name_age,time,overall_place,sex_place,sex_div_place,div,net_time,city_state_country,state_country,country,city,city_country,ag_time,bq,date,marathon,midd,year
Arya Bahreini (M),2:24:18,37,37,NA,NA,NA,NA,NA,NA,Edmond,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Phillip Reid (M),2:24:18,38,38,NA,NA,NA,NA,NA,NA,San Luis Obispo,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Brogan Austin (M),2:24:39,39,39,NA,NA,NA,NA,NA,NA,Boone,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Matt Fischer (M),2:25:34,40,40,NA,NA,NA,NA,NA,NA,Brighton,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Will Nation (M),2:25:54,41,41,NA,NA,NA,NA,NA,NA,Austin,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Dan Vassallo (M),2:26:05,42,42,NA,NA,NA,NA,NA,NA,Peabody,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Chris Chavez (M),2:26:10,43,43,NA,NA,NA,NA,NA,NA,Burlingame,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jed Christiansen (M),2:26:38,44,44,NA,NA,NA,NA,NA,NA,Grove City,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Stephen Furst (M),2:26:42,45,45,NA,NA,NA,NA,NA,NA,Raleigh,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Samuel Morse (M),2:26:49,46,46,NA,NA,NA,NA,NA,NA,Camden,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jonathan Mott (M),2:27:03,47,47,NA,NA,NA,NA,NA,NA,Babson Park,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jonas Hampton (M),2:27:21,48,48,NA,NA,NA,NA,NA,NA,New Britain,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Paul Petersen (M),2:27:24,49,49,NA,NA,NA,NA,NA,NA,Fort Collins,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
John Raneri (M),2:27:26,50,50,NA,NA,NA,NA,NA,NA,New Fairfield,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Matthew Fecht (M),2:27:28,51,51,NA,NA,NA,NA,NA,NA,Warren,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Drew Polley (M),2:27:32,52,52,NA,NA,NA,NA,NA,NA,Bothell,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Johnny Crain (M),2:27:37,53,53,NA,NA,NA,NA,NA,NA,Blowing Rock,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Wilkerson Given (M),2:27:50,54,54,NA,NA,NA,NA,NA,NA,Greenville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
