"name_age","match_name","full_name","marathon","year","date","time","time_minutes"
"Lelisa Desisa (M25)","LELISA DESISA","LELISA DESISA","Boston Marathon",2015,"2015-04-20","2:09:17",129.283333333333
"Yemane Adhane Tsegay (M30)","YEMANE ADHANE TSEGAY","YEMANE ADHANE TSEGAY","Boston Marathon",2015,"2015-04-20","2:09:48",129.8
"Wilson Chebet (M29)","WILSON CHEBET","WILSON CHEBET","Boston Marathon",2015,"2015-04-20","2:10:22",130.366666666667
"Bernard Kipyego (M28)","BERNARD KIPYEGO","BERNARD KIPYEGO","Boston Marathon",2015,"2015-04-20","2:10:47",130.783333333333
"Wesley Korir (M32)","WESLEY KORIR","WESLEY KORIR","Boston Marathon",2015,"2015-04-20","2:10:49",130.816666666667
"Frankline Chepkwony (M30)","FRANKLINE CHEPKWONY","FRANKLINE CHEPKWONY","Boston Marathon",2015,"2015-04-20","2:10:52",130.866666666667
"Dathan Ritzenhein (M32)","DATHAN RITZENHEIN","DATHAN RITZENHEIN","Boston Marathon",2015,"2015-04-20","2:11:20",131.333333333333
"Meb Keflezighi (M39)","MEB KEFLEZIGHI","MEB KEFLEZIGHI","Boston Marathon",2015,"2015-04-20","2:12:42",132.7
"Tadese Tola (M27)","TADESE TOLA","TADESE TOLA","Boston Marathon",2015,"2015-04-20","2:13:35",133.583333333333
"Vitaliy Shafar (M33)","VITALIY SHAFAR","VITALIY SHAFAR","Boston Marathon",2015,"2015-04-20","2:13:52",133.866666666667
"Matt Tegenkamp (M33)","MATT TEGENKAMP","MATT TEGENKAMP","Boston Marathon",2015,"2015-04-20","2:13:52",133.866666666667
"Jeffrey Eggleston (M30)","JEFFREY EGGLESTON","JEFFREY EGGLESTON","Boston Marathon",2015,"2015-04-20","2:14:17",134.283333333333
"Lusapho April (M32)","LUSAPHO APRIL","LUSAPHO APRIL","Boston Marathon",2015,"2015-04-20","2:16:25",136.416666666667
"Nicholas Arciniaga (M31)","NICHOLAS ARCINIAGA","NICHOLAS ARCINIAGA","Boston Marathon",2015,"2015-04-20","2:18:02",138.033333333333
"Danilo Goffi (M42)","DANILO GOFFI","DANILO GOFFI","Boston Marathon",2015,"2015-04-20","2:18:44",138.733333333333
"Sage Canaday (M29)","SAGE CANADAY","SAGE CANADAY","Boston Marathon",2015,"2015-04-20","2:19:12",139.2
"Sergey Zyryanov (M30)","SERGEY ZYRYANOV","SERGEY ZYRYANOV","Boston Marathon",2015,"2015-04-20","2:19:17",139.283333333333
"Chris Chavez (M28)","CHRIS CHAVEZ","CHRIS CHAVEZ","Boston Marathon",2015,"2015-04-20","2:20:04",140.066666666667
"Scott Macpherson (M28)","SCOTT MACPHERSON","SCOTT MACPHERSON","Boston Marathon",2015,"2015-04-20","2:20:25",140.416666666667
"Christopher Zablocki (M26)","CHRISTOPHER ZABLOCKI","CHRISTOPHER ZABLOCKI","Boston Marathon",2015,"2015-04-20","2:20:35",140.583333333333
"Kiyokatsu Hasegawa (M32)","KIYOKATSU HASEGAWA","KIYOKATSU HASEGAWA","Boston Marathon",2015,"2015-04-20","2:20:42",140.7
"Benjamin P. Zywicki (M26)","BENJAMIN P. ZYWICKI","BENJAMIN P. ZYWICKI","Boston Marathon",2015,"2015-04-20","2:21:10",141.166666666667
"Philippe Viau-Dupuis (M32)","PHILIPPE VIAU-DUPUIS","PHILIPPE VIAU-DUPUIS","Boston Marathon",2015,"2015-04-20","2:21:16",141.266666666667
"Ruben Sanca (M28)","RUBEN SANCA","RUBEN SANCA","Boston Marathon",2015,"2015-04-20","2:21:58",141.966666666667
"Fernando Cabada (M32)","FERNANDO CABADA","FERNANDO CABADA","Boston Marathon",2015,"2015-04-20","2:22:05",142.083333333333
"Malcolm J. Richards (M32)","MALCOLM RICHARDS","MALCOLM J. RICHARDS","Boston Marathon",2015,"2015-04-20","2:22:30",142.5
"Cole Atkins (M29)","COLE ATKINS","COLE ATKINS","Boston Marathon",2015,"2015-04-20","2:23:21",143.35
"Jason M. Simpson (M30)","JASON SIMPSON","JASON M. SIMPSON","Boston Marathon",2015,"2015-04-20","2:25:47",145.783333333333
"Michael Wardian (M41)","MICHAEL WARDIAN","MICHAEL WARDIAN","Boston Marathon",2015,"2015-04-20","2:27:20",147.333333333333
"Charlie A Hurt (M31)","CHARLIE HURT","CHARLIE A HURT","Boston Marathon",2015,"2015-04-20","2:30:15",150.25
"Mason D. Frank (M25)","MASON FRANK","MASON D. FRANK","Boston Marathon",2015,"2015-04-20","2:32:39",152.65
"Lemi Berhanu Hayle (M)","LEMI BERHANU HAYLE","LEMI BERHANU HAYLE","Boston Marathon",2016,"2016-04-18","2:12:45",132.75
"Lelisa Desisa (M)","LELISA DESISA","LELISA DESISA","Boston Marathon",2016,"2016-04-18","2:13:32",133.533333333333
"Yemane Adhane Tsegay (M)","YEMANE ADHANE TSEGAY","YEMANE ADHANE TSEGAY","Boston Marathon",2016,"2016-04-18","2:14:02",134.033333333333
"Wesley Korir (M)","WESLEY KORIR","WESLEY KORIR","Boston Marathon",2016,"2016-04-18","2:14:05",134.083333333333
"Paul Lonyangata (M)","PAUL LONYANGATA","PAUL LONYANGATA","Boston Marathon",2016,"2016-04-18","2:15:45",135.75
"Sammy Kitwara (M)","SAMMY KITWARA","SAMMY KITWARA","Boston Marathon",2016,"2016-04-18","2:16:43",136.716666666667
"Stephen Chebogut (M)","STEPHEN CHEBOGUT","STEPHEN CHEBOGUT","Boston Marathon",2016,"2016-04-18","2:16:52",136.866666666667
"Abdi Nageeye (M)","ABDI NAGEEYE","ABDI NAGEEYE","Boston Marathon",2016,"2016-04-18","2:18:05",138.083333333333
"Getu Feleke (M)","GETU FELEKE","GETU FELEKE","Boston Marathon",2016,"2016-04-18","2:18:46",138.766666666667
"Zachary Hine (M)","ZACHARY HINE","ZACHARY HINE","Boston Marathon",2016,"2016-04-18","2:21:37",141.616666666667
"Cutbert Nyasango (M)","CUTBERT NYASANGO","CUTBERT NYASANGO","Boston Marathon",2016,"2016-04-18","2:22:02",142.033333333333
"Tsegaye Mekonnen (M)","TSEGAYE MEKONNEN","TSEGAYE MEKONNEN","Boston Marathon",2016,"2016-04-18","2:22:21",142.35
"Ian Burrell (M)","IAN BURRELL","IAN BURRELL","Boston Marathon",2016,"2016-04-18","2:22:22",142.366666666667
"Harbert Okuti (M)","HARBERT OKUTI","HARBERT OKUTI","Boston Marathon",2016,"2016-04-18","2:24:46",144.766666666667
"Michael Kipyego (M)","MICHAEL KIPYEGO","MICHAEL KIPYEGO","Boston Marathon",2016,"2016-04-18","2:27:02",147.033333333333
"Andy Williams (M)","ANDY WILLIAMS","ANDY WILLIAMS","Boston Marathon",2016,"2016-04-18","2:27:07",147.116666666667
"Michael Wardian (M)","MICHAEL WARDIAN","MICHAEL WARDIAN","Boston Marathon",2016,"2016-04-18","2:31:39",151.65
"Ramiro Guillen (M)","RAMIRO GUILLEN","RAMIRO GUILLEN","Boston Marathon",2016,"2016-04-18","2:32:45",152.75
"Cesar Martins (M)","CESAR MARTINS","CESAR MARTINS","Boston Marathon",2016,"2016-04-18","2:34:02",154.033333333333
"Donovan Fellows (M)","DONOVAN FELLOWS","DONOVAN FELLOWS","Boston Marathon",2016,"2016-04-18","2:34:17",154.283333333333
"Jason Simpson (M)","JASON SIMPSON","JASON SIMPSON","Boston Marathon",2016,"2016-04-18","2:37:33",157.55
"Galen Rupp (M30)","GALEN RUPP","GALEN RUPP","Boston Marathon",2017,"2017-04-17","2:09:58",129.966666666667
"Shadrack Biwott (M32)","SHADRACK BIWOTT","SHADRACK BIWOTT","Boston Marathon",2017,"2017-04-17","2:12:08",132.133333333333
"Wilson Chebet (M31)","WILSON CHEBET","WILSON CHEBET","Boston Marathon",2017,"2017-04-17","2:12:35",132.583333333333
"Abdi Abdirahman (M40)","ABDI ABDIRAHMAN","ABDI ABDIRAHMAN","Boston Marathon",2017,"2017-04-17","2:12:45",132.75
"Augustus K. Maiyo (M33)","AUGUSTUS MAIYO","AUGUSTUS K. MAIYO","Boston Marathon",2017,"2017-04-17","2:13:16",133.266666666667
"Dino Sefir (M28)","DINO SEFIR","DINO SEFIR","Boston Marathon",2017,"2017-04-17","2:14:26",134.433333333333
"Luke Puskedra (M27)","LUKE PUSKEDRA","LUKE PUSKEDRA","Boston Marathon",2017,"2017-04-17","2:14:45",134.75
"Jared Ward (M28)","JARED WARD","JARED WARD","Boston Marathon",2017,"2017-04-17","2:15:28",135.466666666667
"Sean Quigley (M32)","SEAN QUIGLEY","SEAN QUIGLEY","Boston Marathon",2017,"2017-04-17","2:15:34",135.566666666667
"Yemane Tsegay (M32)","YEMANE ADHANE TSEGAY","YEMANE TSEGAY","Boston Marathon",2017,"2017-04-17","2:16:47",136.783333333333
"Meb Keflezighi (M41)","MEB KEFLEZIGHI","MEB KEFLEZIGHI","Boston Marathon",2017,"2017-04-17","2:17:00",137
"Cutbert Nyasango (M34)","CUTBERT NYASANGO","CUTBERT NYASANGO","Boston Marathon",2017,"2017-04-17","2:17:40",137.666666666667
"Wesley Korir (M34)","WESLEY KORIR","WESLEY KORIR","Boston Marathon",2017,"2017-04-17","2:18:14",138.233333333333
"Rachid Kisri (M41)","RACHID KISRI","RACHID KISRI","Boston Marathon",2017,"2017-04-17","2:18:32",138.533333333333
"Pardon Ndhlovu (M29)","PARDON NDHLOVU","PARDON NDHLOVU","Boston Marathon",2017,"2017-04-17","2:20:12",140.2
"Brian Harvey (M29)","BRIAN HARVEY","BRIAN HARVEY","Boston Marathon",2017,"2017-04-17","2:20:18",140.3
"Eric Ashe (M28)","ERIC ASHE","ERIC ASHE","Boston Marathon",2017,"2017-04-17","2:23:26",143.433333333333
"Mike Morgan (M37)","MIKE MORGAN","MIKE MORGAN","Boston Marathon",2017,"2017-04-17","2:25:02",145.033333333333
"Cesar A. Martins (M45)","CESAR MARTINS","CESAR A. MARTINS","Boston Marathon",2017,"2017-04-17","2:25:15",145.25
"Eric Loeffler (M40)","ERIC LOEFFLER","ERIC LOEFFLER","Boston Marathon",2017,"2017-04-17","2:26:00",146
"Michael R. Wardian (M43)","MICHAEL WARDIAN","MICHAEL R. WARDIAN","Boston Marathon",2017,"2017-04-17","2:27:35",147.583333333333
"Tim Chichester (M28)","TIMOTHY CHICHESTER","TIM CHICHESTER","Boston Marathon",2017,"2017-04-17","2:30:31",150.516666666667
"Christopher A. Zablocki (M28)","CHRISTOPHER ZABLOCKI","CHRISTOPHER A. ZABLOCKI","Boston Marathon",2017,"2017-04-17","2:31:04",151.066666666667
"Yuki Kawauchi (M31)","YUKI KAWAUCHI","YUKI KAWAUCHI","Boston Marathon",2018,"2018-04-16","2:15:58",135.966666666667
"Shadrack Biwott (M33)","SHADRACK BIWOTT","SHADRACK BIWOTT","Boston Marathon",2018,"2018-04-16","2:18:35",138.583333333333
"Tyler Pennel (M30)","TYLER PENNEL","TYLER PENNEL","Boston Marathon",2018,"2018-04-16","2:18:57",138.95
"Scott Smith (M31)","SCOTT SMITH","SCOTT SMITH","Boston Marathon",2018,"2018-04-16","2:21:47",141.783333333333
"Abdi Nageeye (M29)","ABDI NAGEEYE","ABDI NAGEEYE","Boston Marathon",2018,"2018-04-16","2:23:16",143.266666666667
"Elkanah Kibet (M34)","ELKANAH KIBET","ELKANAH KIBET","Boston Marathon",2018,"2018-04-16","2:23:37",143.616666666667
"Daniel Daly (M32)","DANIEL DALY","DANIEL DALY","Boston Marathon",2018,"2018-04-16","2:27:54",147.9
"Benjamin Zywicki (M29)","BENJAMIN P. ZYWICKI","BENJAMIN ZYWICKI","Boston Marathon",2018,"2018-04-16","2:28:02",148.033333333333
"Stephen Sambu (M29)","STEPHEN SAMBU","STEPHEN SAMBU","Boston Marathon",2018,"2018-04-16","2:28:07",148.116666666667
"Abdi Abdirahman (M41)","ABDI ABDIRAHMAN","ABDI ABDIRAHMAN","Boston Marathon",2018,"2018-04-16","2:28:18",148.3
"Daniel Tapia (M31)","DANIEL TAPIA","DANIEL TAPIA","Boston Marathon",2018,"2018-04-16","2:28:38",148.633333333333
"Lelisa Desisa (M29)","LELISA DESISA","LELISA DESISA","Boston Marathon",2019,"2019-04-15","2:07:59",127.983333333333
"Philemon Rono (M28)","PHILEMON RONO","PHILEMON RONO","Boston Marathon",2019,"2019-04-15","2:08:57",128.95
"Jared Ward (M30)","JARED WARD","JARED WARD","Boston Marathon",2019,"2019-04-15","2:09:25",129.416666666667
"Elkanah Kibet (M35)","ELKANAH KIBET","ELKANAH KIBET","Boston Marathon",2019,"2019-04-15","2:11:51",131.85
"Augustus Maiyo (M35)","AUGUSTUS MAIYO","AUGUSTUS MAIYO","Boston Marathon",2019,"2019-04-15","2:12:40",132.666666666667
"Shadrack Biwott (M34)","SHADRACK BIWOTT","SHADRACK BIWOTT","Boston Marathon",2019,"2019-04-15","2:13:11",133.183333333333
"Yuki Kawauchi (M32)","YUKI KAWAUCHI","YUKI KAWAUCHI","Boston Marathon",2019,"2019-04-15","2:15:29",135.483333333333
"Dathan Ritzenhein (M36)","DATHAN RITZENHEIN","DATHAN RITZENHEIN","Boston Marathon",2019,"2019-04-15","2:16:19",136.316666666667
"Brendan Gregg (M29)","BRENDAN GREGG","BRENDAN GREGG","Boston Marathon",2019,"2019-04-15","2:16:46",136.766666666667
"Scott Overall (M36)","SCOTT OVERALL","SCOTT OVERALL","Boston Marathon",2019,"2019-04-15","2:17:37",137.616666666667
"Ben Payne (M37)","BENJAMIN PAYNE","BEN PAYNE","Boston Marathon",2019,"2019-04-15","2:18:01",138.016666666667
"Abdi Abdirahman (M42)","ABDI ABDIRAHMAN","ABDI ABDIRAHMAN","Boston Marathon",2019,"2019-04-15","2:18:56",138.933333333333
"Timothy Ritchie (M31)","TIMOTHY RITCHIE","TIMOTHY RITCHIE","Boston Marathon",2019,"2019-04-15","2:24:54",144.9
"Elisha Barno (M30)","ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2015,"2015-12-06","2:12:11",132.183333333333
"Macdonard Ondara (M30)","MACDONARD ONDARA","MACDONARD ONDARA","Cal Intl Marathon",2015,"2015-12-06","2:13:23",133.383333333333
"Dereje Abera Ali (M36)","DEREJE ABERA ALI","DEREJE ABERA ALI","Cal Intl Marathon",2015,"2015-12-06","2:15:09",135.15
