activity_id,shoes,device,suffer
1890479941,b'\xe2\x80\x94',b'Garmin Forerunner 35',b'\xe2\x80\x94'
2786663975,b'adidas adizero\n(345.8 mi)',b'Garmin f\xc4\x93nix 3',b'363'
293715266,b'\xe2\x80\x94',b'Garmin Forerunner 110',b'321'
3359543470,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
2292162279,b'adidas adizero Boston 7 No 9\n(438.0 mi)',b'Garmin Forerunner 935',b'406'
1202903596,b'Mizuno Waverider 20\n(503.6 mi)',b'Garmin Forerunner 610',b'370'
739688684,b'\xe2\x80\x94',b'TomTom',b'\xe2\x80\x94'
1221401200,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1424564163,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'\xe2\x80\x94'
2300584003,b'Brooks Prue Cadence\n(231.5 mi)',b'Suunto Ambit2 R',b'\xe2\x80\x94'
2838914134,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'398'
1512412342,b'adidas adios boost\n(800.0 mi)',b'Garmin Forerunner 735XT',b'422'
739870025,b'adidas supernova sequence Boost (Blue\\Blue)\n(245.7 mi)',b'Garmin Forerunner 620',b'201'
401242075,b'361 NIKE Flyknit Lunar 2+\n(900.9 mi)',b'Garmin Forerunner 920XT',b'378'
1512724690,b'Nike zoom vaporfly 4%\n(242.3 mi)',b'Garmin Forerunner 645 Music',b'425'
1847123225,b'ASICS GT-1000 6\n(114.1 mi)',b'Suunto 9',b'684'
289703673,b'\xe2\x80\x94',b'Garmin Forerunner 110',b'\xe2\x80\x94'
424675335,b'New Balance 1600v3\n(310.0 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
946538809,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
2292679776,b'Brooks Levitate\n(790.3 mi)',b'Garmin f\xc4\x93nix 5',b'211'
2326957585,b'\xe2\x80\x94',b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
2787020148,b'\xe2\x80\x94',b'Suunto Trainer Wrist HR',b'\xe2\x80\x94'
1890963832,b'Mizuno Wave Inspire 13\n(527.4 mi)',b'Garmin Forerunner 220',b'\xe2\x80\x94'
556097247,"b'adidas Boston Boost 5\n(1,706.6 mi)'",b'Suunto Ambit2',b'\xe2\x80\x94'
2839267886,b'\xe2\x80\x94',b'Garmin Forerunner 645 Music',b'427'
2748701818,b'Nike VaporFly 4%\n(210.7 mi)',b'Garmin f\xc4\x93nix 5 Plus',b'\xe2\x80\x94'
740004841,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
1845155454,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'175'
989401405,b'\xe2\x80\x94',b'Garmin Forerunner 405',b'\xe2\x80\x94'
1263228810,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'796'
2325382065,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'588'
946701632,b'New Balance MR 1400 v4 #1\n(515.0 mi)',b'Garmin Forerunner 620',b'\xe2\x80\x94'
292836388,b'\xe2\x80\x94',b'Strava Android App',b'\xe2\x80\x94'
2292615164,b'\xe2\x80\x94',b'Polar M400',b'\xe2\x80\x94'
2292595472,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'734'
549419343,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1200081693,"b'New Balance MRUSHSG Grau, Sohle: gr\xc3\xbcn, schwarz, wei\xc3\x9f\n(490.2 mi)'",b'TomTom',b'\xe2\x80\x94'
215420154,b'Brooks\n(724.9 mi)',b'Garmin Forerunner 620',b'\xe2\x80\x94'
275617637,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1512851082,"b'adidas Ultra Boosts\n(8,184.1 mi)'",b'Garmin Forerunner 620',b'369'
733475325,b'Nike PEGASUS 34\n(335.8 mi)',b'\xe2\x80\x94',b'\xe2\x80\x94'
2292128140,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'283'
1946508695,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'265'
1221612657,b'Skechers go run 3\n(42.2 mi)',b'Garmin v\xc3\xadvoactive',b'\xe2\x80\x94'
555633936,"b'adidas Energy Boost\n(9,066.6 mi)'",b'Garmin Forerunner 620',b'\xe2\x80\x94'
380438837,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
947010879,b'adidas adios boost 3\n(667.2 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
290539834,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
239821711,"b'Saucony\n(1,709.3 mi)'",b'Garmin Forerunner 210',b'\xe2\x80\x94'
1527684123,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
401145463,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
739768200,b'Mizuno Waver Rider 18\n(270.1 mi)',b'Garmin v\xc3\xadvoactive',b'\xe2\x80\x94'
1844935211,"b'Nike AIR Zoom Pegasus 34\n(2,343.7 mi)'",b'Garmin Forerunner 235',b'311'
1530242276,b'\xe2\x80\x94',b'Suunto Ambit3 Peak',b'\xe2\x80\x94'
