activity_id,shoes,device,suffer
1850871270,b'adidas Ultra Boost\n(305.6 mi)',b'Garmin Forerunner 735XT',b'\xe2\x80\x94'
1525596397,b'adidas Adios Boost 3 Cinza\n(326.7 mi)',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
1524885290,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'233'
401521163,"b'Mizuno Trail...\n(14,667.6 mi)'",b'TomTom',b'\xe2\x80\x94'
615452528,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1263298623,"b'Army Surplus\n(7,198.5 mi)'",b'Garmin v\xc3\xadvoactive',b'\xe2\x80\x94'
2787346492,b'Reebok RaceDay\n(123.3 mi)',b'TomTom',b'\xe2\x80\x94'
555738322,b'\xe2\x80\x94',b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
401178568,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
549608454,b'Skechers Go Meb\n(538.8 mi)',b'Garmin Forerunner 10',b'\xe2\x80\x94'
293428867,b'\xe2\x80\x94',b'Garmin Forerunner 110',b'\xe2\x80\x94'
1845468389,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
946558382,"b'ASICS Nimbus 12\n(6,402.5 mi)'",b'Garmin Forerunner 735XT',b'\xe2\x80\x94'
2839367543,b'Nike Vaporyfly 4%\n(118.3 mi)',b'Garmin Forerunner 235',b'455'
572002923,b'\xe2\x80\x94',b'Garmin Forerunner 15',b'\xe2\x80\x94'
1221421302,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
946708565,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5X',b'405'
1199019512,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1512270148,b'Nike zoom vaporfly 4%\n(179.8 mi)',b'Garmin Forerunner 235',b'131'
1061648363,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
2325496801,b'Nike Vaporfly 4% 2018\n(126.2 mi)',b'Garmin Forerunner 935',b'391'
879869117,b'Mizuno Wave Runner 19\n(742.1 mi)',b'Garmin Forerunner 230',b'374'
2786129110,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
2292244108,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'421'
289204498,b'\xe2\x80\x94',b'Suunto Ambit3 Peak',b'544'
215134347,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1899170766,b'Saucony Freedom ISO New Blue\n(468.2 mi)',b'Garmin Forerunner 630',b'\xe2\x80\x94'
1891305003,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'548'
550058672,"b'adidas Boston 4\n(10,327.8 mi)'",b'Garmin Forerunner 220',b'\xe2\x80\x94'
2748782229,b'Brooks Launch 5\n(967.7 mi)',b'Garmin Forerunner 735XT',b'412'
556509697,b'adidas OLD adios no1\n(614.4 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
216339235,b'Brooks PureCadence\n(916.4 mi)',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
955639894,b'\xe2\x80\x94',b'Garmin Forerunner 410',b'\xe2\x80\x94'
2786170530,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1512577259,b'\xe2\x80\x94',b'Garmin Forerunner 645 Music',b'388'
739646624,b'Nike Air Zoom P\xc3\xa9gasus 32\n(461.7 mi)',b'Garmin Forerunner 620',b'\xe2\x80\x94'
555346306,b'\xe2\x80\x94',b'Garmin Forerunner 10',b'\xe2\x80\x94'
1898818876,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
549581466,b'\xe2\x80\x94',b'TomTom',b'\xe2\x80\x94'
290228231,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'775'
424660882,"b'HOKA ONE ONE Clifton (Lime)\n(1,272.3 mi)'",b'Garmin f\xc4\x93nix 3',b'563'
4329034623,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1512357193,"b'Nike Nike zoom elite 9\n(2,302.1 mi)'",b'Garmin Forerunner 630',b'\xe2\x80\x94'
291263024,"b'Nike Lunar Fly\n(1,970.2 mi)'",b'Garmin Forerunner 410',b'\xe2\x80\x94'
1512499097,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
555448573,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1513099143,b'\xe2\x80\x94',b'Garmin Forerunner 410',b'\xe2\x80\x94'
