activity_id,shoes,device,suffer
1525579058,b'Nike Zoom Fly\n(210.8 mi)',b'Garmin Forerunner 920XT',b'322'
1512402370,b'Nike zoomfly\n(547.7 mi)',b'Garmin Forerunner 235',b'612'
162182906,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1845528773,b'Saucony Kinvara 8\n(636.3 mi)',b'Suunto Ambit3 Peak',b'\xe2\x80\x94'
1890343411,b'Nike Zoom Fly\n(301.0 mi)',b'Garmin Forerunner 920XT',b'331'
1524922650,b'Brooks Ghost\n(439.4 mi)',b'Garmin f\xc4\x93nix 5',b'328'
1263175907,"b'Brooks Ghost\n(3,960.9 mi)'",b'Garmin Forerunner 235',b'\xe2\x80\x94'
2325328564,"b'Brooks Ghost 11\n(4,789.9 mi)'",b'Garmin Forerunner 735XT',b'\xe2\x80\x94'
2838956954,b'Nike vaporfly next\n(86.9 mi)',b'Garmin Forerunner 235',b'132'
2292245638,b'\xe2\x80\x94',b'Suunto Ambit3 Sport',b'\xe2\x80\x94'
411285672,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'\xe2\x80\x94'
1890419705,b'\xe2\x80\x94',b'Garmin Forerunner 645 Music',b'196'
1525148098,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1525152521,b'\xe2\x80\x94',b'Suunto',b'800'
2839009499,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
410987266,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
1198982911,b'Altra One\n(165.7 mi)',b'Garmin v\xc3\xadvoactive HR',b'\xe2\x80\x94'
1424547480,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
946815124,b'\xe2\x80\x94',b'Garmin v\xc3\xadvoactive',b'\xe2\x80\x94'
556588912,b'New Balance M860V5\n(483.8 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
1512438860,b'Brooks Launch\n(402.0 mi)',b'Garmin f\xc4\x93nix 3',b'363'
551790917,b'ASICS GT2000\n(561.3 mi)',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1512221840,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
298827124,b'\xe2\x80\x94',b'Garmin Forerunner 410',b'\xe2\x80\x94'
1525894614,b'adidas Supernova Boost\n(944.4 mi)',b'Garmin Forerunner 225',b'\xe2\x80\x94'
202970025,b'\xe2\x80\x94',b'Suunto Ambit2 S',b'\xe2\x80\x94'
2786246655,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
2838858349,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'\xe2\x80\x94'
289682265,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
946497108,b'adidas Takumi Sen 2\n(153.7 mi)',b'Garmin f\xc4\x93nix 5S',b'246'
946581190,b'Nike Pegasus 32\n(931.9 mi)',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2325490171,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
431799537,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
549432925,"b'New Balance Vazee Pace\n(4,071.6 mi)'",b'Garmin Forerunner 220',b'\xe2\x80\x94'
1221782379,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
904962420,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
2838855207,b'HOKA ONE ONE Carbon X\n(92.3 mi)',b'Garmin Forerunner 935',b'256'
2838792160,b'Nike Vaporfly Next%\n(80.0 mi)',b'Garmin v\xc3\xadvoactive 3',b'475'
2292013518,b'Nike Vaporfly\n(398.8 mi)',b'Garmin Forerunner 735XT',b'390'
1263175491,b'\xe2\x80\x94',b'Garmin Forerunner 225',b'387'
1524762823,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1199138698,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1524558726,"b'Brooks Glycerin\n(2,681.5 mi)'",b'Garmin Forerunner 235',b'\xe2\x80\x94'
947319957,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
214778213,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
1512507307,b'\xe2\x80\x94',b'Garmin Forerunner 645 Music',b'358'
2748711532,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
