activity_id,shoes,device,suffer
424740290,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
3995951910,"b'Brooks Adrenaline\n(1,916.1 mi)'",b'TomTom',b'\xe2\x80\x94'
2838708360,b'Nike Next %\n(81.0 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
1845391831,b'\xe2\x80\x94',b'TomTom',b'\xe2\x80\x94'
425457108,b'\xe2\x80\x94',b'Garmin Forerunner 10',b'\xe2\x80\x94'
2843963348,b'Brooks Hyperion\n(77.7 mi)',b'Garmin Forerunner 645',b'244'
1844968530,b'Brooks Adrenaline GTS\n(649.0 mi)',b'Garmin Forerunner 935',b'478'
1844996817,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
549515943,b'New Balance Fresh Foam Zante V2 Orange\n(357.1 mi)',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
292569827,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
950281925,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1484121259,"b'Brooks PureCadence\n(3,447.7 mi)'",b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1227712176,b'Nike PEGASUS 34\n(419.4 mi)',b'Garmin Forerunner 935',b'\xe2\x80\x94'
2839027930,b'Nike Next %\n(68.3 mi)',b'Garmin Forerunner 645 Music',b'450'
1946287802,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
946711616,"b'adidas boost ultra st\n(3,130.3 mi)'",b'Garmin Forerunner 235',b'\xe2\x80\x94'
424744572,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
946771840,b'adidas Tempo Boost - black/orange\n(683.6 mi)',b'Garmin Forerunner 620',b'\xe2\x80\x94'
2839048266,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'436'
1221977805,b'\xe2\x80\x94',b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
289351725,b'Mizuno Wave Inspire 10\n(431.2 mi)',b'Garmin Forerunner 10',b'\xe2\x80\x94'
1221226678,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2292656331,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
3333239423,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
289287219,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1946246649,b'Saucony Kinvara 8\n(636.3 mi)',b'Polar M430',b'\xe2\x80\x94'
290151608,b'\xe2\x80\x94',b'TomTom',b'\xe2\x80\x94'
1845094237,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'297'
1200630837,b'\xe2\x80\x94',b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
411011559,"b'Pearl Izumi\n(1,796.9 mi)'",b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
402110568,b'\xe2\x80\x94',b'Suunto Ambit2',b'\xe2\x80\x94'
1512471009,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'328'
946530622,b'adidas adizero Adios 3 Blue A\n(383.6 mi)',b'Garmin Forerunner 235',b'175'
448098192,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1845591899,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'\xe2\x80\x94'
370044148,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
555264563,b'ASICS GT-2000 3\n(635.6 mi)',b'Garmin Forerunner 920XT',b'408'
3381345706,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
2292219970,b'Saucony Liberty ISO\n(636.0 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
2041632367,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
2292727132,b'Nike Vaporfly 4% Flyknit\n(350.3 mi)',b'Garmin Forerunner 735XT',b'238'
456608242,b'\xe2\x80\x94',b'Garmin Forerunner 410',b'\xe2\x80\x94'
1512425659,b'\xe2\x80\x94',b'Apple Watch Series 3',b'\xe2\x80\x94'
2749084184,"b'Saucony Ride\n(4,310.4 mi)'",b'Garmin Forerunner 235',b'\xe2\x80\x94'
656426093,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
1221435157,b'Nike AIR Zoom Pegasus 34\n(424.5 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
132747962,"b'Nike LUNARGLIDE  + 5\n(2,969.7 mi)'",b'\xe2\x80\x94',b'\xe2\x80\x94'
2325273304,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'\xe2\x80\x94'
1946337557,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'307'
416321993,"b'Vibram Five Fingers Bikilas\n(1,720.4 mi)'",b'Garmin Forerunner 910XT',b'673'
1897231125,"b'ASICS Hyper Speed 5\n(3,748.8 mi)'",b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
1524437658,b'\xe2\x80\x94',b'Polar M430',b'446'
1845071975,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'162'
1199118967,b'\xe2\x80\x94',b'TomTom',b'\xe2\x80\x94'
1512638771,b'Brooks Adrenaline GTS\n(498.9 mi)',b'Garmin Forerunner 235',b'879'
413106648,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
290173426,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'\xe2\x80\x94'
948796809,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
2227978099,b'HOKA ONE ONE -ret- Tracer\n(97.7 mi)',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
