activity_id,shoes,device,suffer,vaporfly
739576054,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
223515421,\xe2\x80\x94,Garmin Forerunner 910XT,\xe2\x80\x94,0
2787395624,\xe2\x80\x94,Garmin Forerunner 945,\xe2\x80\x94,0
1524805325,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
1946251058,Nike Vaporfly 4% Flyknit\n(67.8 mi),Polar M430,404,1
2326058427,\xe2\x80\x94,Garmin Forerunner 235,281,0
1502246327,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2787442248,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
425412287,\xe2\x80\x94,GPX,\xe2\x80\x94,0
216370904,\xe2\x80\x94,Garmin Forerunner 910XT,\xe2\x80\x94,0
1262987207,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
132963993,\xe2\x80\x94,Garmin Forerunner 910XT,706,0
292835762,adidas Adios Boost Red\n(549.7 mi),Garmin Forerunner 220,\xe2\x80\x94,0
1199292813,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
1426511422,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
740499859,\xe2\x80\x94,Garmin Forerunner 910XT,\xe2\x80\x94,0
1512870480,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2325219584,Nike 2% Orange\n(254.7 mi),Garmin Forerunner 235,\xe2\x80\x94,1
1512580812,"ASICS GT 2000\n(1,186.3 mi)",Garmin Forerunner 235,\xe2\x80\x94,0
429858269,Pearl Izumi N1 Tri\n(315.1 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
289675320,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
1900980740,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
206758157,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
1512760745,Mizuno Wave Rider 20\n(508.8 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
2292263558,Nike Zoom Vaporfly 4% - Orange\n(449.2 mi),Garmin Forerunner 935,361,1
424767858,\xe2\x80\x94,Garmin Forerunner 920XT,769,0
550535832,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
1263981619,\xe2\x80\x94,Garmin f\xc4\x93nix 5,\xe2\x80\x94,0
2843921035,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
946516166,Saucony kinvara 6\n(485.4 mi),TomTom,\xe2\x80\x94,0
1890410306,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
555856682,Brooks racer st\n(618.3 mi),Garmin Forerunner 235,\xe2\x80\x94,0
946486994,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
206558824,\xe2\x80\x94,Strava iPhone App,\xe2\x80\x94,0
2328005316,"ASICS Gel Keyano 23, WHITEY\n(602.6 mi)",Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
216286547,"Nike zoom elite 6\n(1,077.5 mi)",Garmin Forerunner 405,\xe2\x80\x94,0
1524609698,\xe2\x80\x94,Garmin Forerunner 235,264,0
1512244687,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
133895440,Brooks Pure cadence #3\n(377.6 mi),Garmin Forerunner 405,\xe2\x80\x94,0
424722309,Saucony Zealot\n(140.6 mi),Garmin Forerunner 620,\xe2\x80\x94,0
401938297,ASICS Kayano 21\n(785.0 mi),Garmin Forerunner 920XT,477,0
411157454,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
195579702,\xe2\x80\x94,Garmin Forerunner 620,337,0
946582073,Saucony kinvara 6\n(181.8 mi),Garmin Forerunner 920XT,\xe2\x80\x94,0
1946316113,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
1199495385,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
1525568721,\xe2\x80\x94,Garmin Forerunner 225,\xe2\x80\x94,0
1524563127,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
402083949,\xe2\x80\x94,Garmin Forerunner 225,\xe2\x80\x94,0
2292689626,\xe2\x80\x94,Suunto Spartan Ultra,\xe2\x80\x94,0
133231568,"Saucony Fasttwitch 6\n(6,438.9 mi)",Garmin Forerunner 910XT,295,0
2326471336,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
2748810554,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
424691476,Brooks Ghost\n(320.9 mi),Garmin Forerunner 620,\xe2\x80\x94,0
1946413895,Nike Vaporfly 4% (Red)\n(892.8 mi),Garmin Forerunner 235,472,1
1844952321,"Nike Epic React Flyknit\n(1,124.3 mi)",Garmin f\xc4\x93nix 5,711,0
2786379131,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
208465984,Newton\n(35.2 mi),GPX,\xe2\x80\x94,0
881357396,\xe2\x80\x94,GPX,\xe2\x80\x94,0
1524574356,Nike Zoom Vaporfly\n(367.3 mi),Garmin Forerunner 235,515,1
292835455,Brooks Ghost\n(435.3 mi),Garmin Forerunner 620,\xe2\x80\x94,0
1946318045,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
549569031,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
740388707,adidas Ultra boost bleu\n(351.3 mi),Suunto,\xe2\x80\x94,0
2843275831,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
133774567,\xe2\x80\x94,Garmin Forerunner 310XT,\xe2\x80\x94,0
407743758,\xe2\x80\x94,Garmin f\xc4\x93nix 2,\xe2\x80\x94,0
1846559212,\xe2\x80\x94,Polar M430,394,0
200450665,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
2839240405,\xe2\x80\x94,Garmin f\xc4\x93nix 5S,\xe2\x80\x94,0
2787032337,HOKA ONE ONE Carbon X\n(185.1 mi),Garmin Forerunner 235,\xe2\x80\x94,0
2065689756,HOKA ONE ONE Bondi\n(52.8 mi),\xe2\x80\x94,\xe2\x80\x94,0
401907279,New Balance 1080v5\n(492.7 mi),Garmin Forerunner 220,\xe2\x80\x94,0
294901752,\xe2\x80\x94,Garmin Forerunner 410,\xe2\x80\x94,0
741005279,Brooks Pureflow\n(271.3 mi),Suunto,471,0
946919181,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
1114777376,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
293244206,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
549685537,"Saucony Zealot\n(1,306.7 mi)",Garmin Forerunner 230,\xe2\x80\x94,0
206530504,\xe2\x80\x94,Strava Android App,\xe2\x80\x94,0
1202141974,\xe2\x80\x94,Suunto Ambit2,\xe2\x80\x94,0
334319895,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
1199190254,Nike Flyknit Racers\n(121.0 mi),Garmin Forerunner 935,\xe2\x80\x94,0
302876552,\xe2\x80\x94,Suunto Ambit3 Peak,\xe2\x80\x94,0
555292277,ASICS Gel-Pulse 7 Electric Blue/Flash Yellow/IndigoBlue\n(568.6 mi),Garmin Forerunner 620,370,0
668139457,"Saucony Guide 8\n(1,076.1 mi)",Garmin Forerunner 220,\xe2\x80\x94,0
1847768913,\xe2\x80\x94,Garmin Forerunner 225,133,0
1263747257,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
556972202,\xe2\x80\x94,TomTom,\xe2\x80\x94,0
549521452,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
1527488931,\xe2\x80\x94,Garmin Forerunner 10,\xe2\x80\x94,0
946994204,Newton Newton Distance V\n(258.3 mi),Garmin Forerunner 735XT,65,0
2293126544,\xe2\x80\x94,Garmin f\xc4\x93nix 5X,\xe2\x80\x94,0
1524948018,Brooks Pureflow\n(210.0 mi),Garmin Forerunner 910XT,309,0
1512574449,ASICS Gel Hyper Speed 7 - #1\n(191.3 mi),Garmin Forerunner 935,307,0
1952452398,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
946658955,\xe2\x80\x94,Garmin Forerunner 235,544,0
946628079,HOKA ONE ONE Clifton 3\n(362.6 mi),Garmin Forerunner 735XT,487,0
580761360,New Balance 1500v2\n(145.5 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
2325352894,"Nike Air Zoom 35 Pegasus 35\n(1,145.5 mi)",\xe2\x80\x94,\xe2\x80\x94,0
879842333,"ASICS LADY GEL-KAYANO\xc2\xae23\n(1,264.6 mi)",Apple Watch,272,0
424815920,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
401604398,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
2786186190,"ASICS Kayanos-25\n(5,311.2 mi)",Garmin Forerunner 235,253,0
1890644447,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
424733848,adidas Adizero Adios 2 Blue A\n(155.2 mi),Garmin Forerunner 610,\xe2\x80\x94,0
2325399239,"adidas Adizero Adios Boost 2.0\n(6,327.1 mi)",Garmin Forerunner 935,361,0
739612291,"Mizuno wave inspire\n(10,941.7 mi)",Garmin Forerunner 620,\xe2\x80\x94,0
292984504,\xe2\x80\x94,Garmin Forerunner 610,\xe2\x80\x94,0
1844891091,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
215431203,Saucony Guide 7 Blue\n(226.8 mi),Garmin Forerunner 910XT,511,0
2292113346,adidas Adizero Boston\n(387.0 mi),Garmin Forerunner 235,255,0
879822158,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
555367505,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
2292063954,\xe2\x80\x94,Garmin f\xc4\x93nix 5X,\xe2\x80\x94,0
424850439,\xe2\x80\x94,Garmin Forerunner 610,\xe2\x80\x94,0
1262947832,\xe2\x80\x94,Garmin Forerunner 25,\xe2\x80\x94,0
551098549,\xe2\x80\x94,Garmin f\xc4\x93nix 2,\xe2\x80\x94,0
1199887305,"HOKA ONE ONE Odssey 2\n(1,926.7 mi)",Garmin Forerunner 735XT,645,0
1199302271,adidas Tempo 9\n(332.5 mi),Garmin Forerunner 735XT,374,0
555793870,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
1262883070,Nike Zoom Fly 2\n(156.3 mi),Garmin Forerunner 920XT,\xe2\x80\x94,0
1845269495,adidas Boston 6\n(327.1 mi),Suunto Ambit3 Peak,\xe2\x80\x94,0
946470907,Saucony Freedom ISO Boston\n(396.7 mi),Garmin Forerunner 630,\xe2\x80\x94,0
200914712,\xe2\x80\x94,Garmin Forerunner 620,517,0
555450328,adidas Adios Boost 2\n(441.4 mi),Garmin Forerunner 920XT,540,0
497490342,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2795800943,Saucony Freedom ISO\n(144.1 mi),Garmin Forerunner 235,\xe2\x80\x94,0
2786470225,\xe2\x80\x94,Garmin Forerunner 45,\xe2\x80\x94,0
424695609,Nike Air Zoom Streak LT 2\n(199.0 mi),TomTom,757,0
424672351,\xe2\x80\x94,Garmin v\xc3\xadvoactive,\xe2\x80\x94,0
946668470,Nike Elite 9\n(165.1 mi),Garmin Forerunner 630,\xe2\x80\x94,0
1263043109,\xe2\x80\x94,Garmin f\xc4\x93nix 5,\xe2\x80\x94,0
289259243,"Newton Distance\n(27,234.5 mi)",Garmin Forerunner 620,\xe2\x80\x94,0
1512295807,Nike Vaporfly\n(416.5 mi),Suunto Spartan Ultra,281,1
1512411941,\xe2\x80\x94,Polar M430,546,0
991203807,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
290317650,"ASICS Gel Pursue\n(1,019.9 mi)",Garmin Forerunner 210,378,0
1512505311,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
2786334658,Nike Vaporfly 4% Flyknit\n(42.7 mi),Garmin Forerunner 235,\xe2\x80\x94,1
