activity_id,shoes,device,suffer,vaporfly
434077811,b'adidas Energy Boost\n(334.8 mi)',lar V80,b'\xe2\x80\x94',0
903285845,"b'adidas \xe3\x82\xa2\xe3\x83\x87\xe3\x82\xa3\xe3\x82\xbc\xe3\x83\xad \xe3\x83\x9e\xe3\x83\x8a \xe3\x82\xa4\xe3\x82\xa8\xe3\x83\xad\xe3\x83\xbc\n(4,756.4 mi)'",rmin Forerunner 920X,b'\xe2\x80\x94',0
2839207596,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1890626249,b'\xe2\x80\x94',rmin Forerunner 735X,b'\xe2\x80\x94',0
1513780267,b'\xe2\x80\x94',lar M40,b'\xe2\x80\x94',0
424705368,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
206593228,b'\xe2\x80\x94',rava Android Ap,b'\xe2\x80\x94',0
1845007579,b'\xe2\x80\x94',rmin Forerunner 62,b'\xe2\x80\x94',0
2749135614,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1117679769,b'\xe2\x80\x94',e2\x80\x9,b'284',0
2293615514,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
1199101417,b'adidas adios boost 3\n(131.2 mi)',unto Spartan Ultr,b'539',0
555246340,"b'adidas Adios Boost 2\n(4,250.6 mi)'",rmin Forerunner 920X,b'\xe2\x80\x94',0
1221240194,b'\xe2\x80\x94',rmin Forerunner 22,b'\xe2\x80\x94',0
739811269,b'\xe2\x80\x94',rmin Forerunner 735X,b'\xe2\x80\x94',0
1262937719,b'\xe2\x80\x94',rmin Forerunner 920X,b'329',0
873369637,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
424868148,b'\xe2\x80\x94',rmin Forerunner 1,b'\xe2\x80\x94',0
1845038613,"b'Nike 4%\n(2,904.8 mi)'",rmin Forerunner 93,b'\xe2\x80\x94',1
2326178144,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1946281017,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
879828994,b'ASICS FUZE Union Jack\n(73.2 mi)',rmin Forerunner 920X,b'321',0
214925367,b'adidas Adizero Takumi Ren (Red)\n(227.6 mi)',e2\x80\x9,b'\xe2\x80\x94',0
289726668,b'\xe2\x80\x94',unto Ambit3 Spor,b'\xe2\x80\x94',0
289250167,b'\xe2\x80\x94',rava iPhone Ap,b'\xe2\x80\x94',0
293132444,"b'Brooks Ravenna\n(4,263.0 mi)'",rmin Forerunner 310X,b'701',0
1424622570,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
289392235,b'adidas 6 glide boost (pair no.3)\n(336.0 mi)',rmin Forerunner 910X,b'511',0
2839041387,b'\xe2\x80\x94',rmin Forerunner 735X,b'\xe2\x80\x94',0
1845081669,b'Saucony Kinvara 9\n(616.3 mi)',rmin f\xc4\x93nix ,b'698',0
1474039399,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1263633251,b'\xe2\x80\x94',rmin Forerunner 93,b'\xe2\x80\x94',0
1264675852,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
1221535852,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1890318675,b'\xe2\x80\x94',unto Spartan Sport Wrist HR Bar,b'\xe2\x80\x94',0
289346471,b'\xe2\x80\x94',rmin Forerunner 22,b'\xe2\x80\x94',0
1424613247,b'\xe2\x80\x94',rmin Forerunner 62,b'\xe2\x80\x94',0
427493943,b'\xe2\x80\x94',rmin Forerunner 61,b'\xe2\x80\x94',0
1512450962,b'Nike zoom vomero 12\n(946.0 mi)',rmin Forerunner 22,b'376',0
289873252,b'\xe2\x80\x94',rmin Forerunner 21,b'\xe2\x80\x94',0
2325314956,b'On Cloud\n(498.5 mi)',rmin Forerunner 735X,b'\xe2\x80\x94',0
549730081,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
946608459,b'\xe2\x80\x94',rmin Forerunner 62,b'541',0
946684924,b'\xe2\x80\x94',unto Ambit3 Spor,b'503',0
1199456424,"b'HOKA ONE ONE Vanquish 2\n(1,066.5 mi)'",unto Ambit3 Pea,b'298',0
896718551,b'\xe2\x80\x94',unto Ambit2 ,b'\xe2\x80\x94',0
1262976685,b'\xe2\x80\x94',rmin Forerunner 63,b'\xe2\x80\x94',0
2292234961,b'Nike VaporFly 4%\n(39.3 mi)',rmin Forerunner 920X,b'\xe2\x80\x94',1
555369225,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
1524776754,b'\xe2\x80\x94',unt,b'\xe2\x80\x94',0
947375689,b'HOKA ONE ONE Clifton\n(686.4 mi)',unto Ambit3 Spor,b'\xe2\x80\x94',0
1524933547,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
2786093813,b'Nike Vaporfly Next %\n(37.1 mi)',lar Vantage ,b'286',1
1891179076,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1199234023,b'Saucony Ride 10\n(550.2 mi)',mTo,b'\xe2\x80\x94',0
139323160,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
2325509786,"b'adidas Adizero Adios 3\n(7,274.4 mi)'",rmin Forerunner 93,b'\xe2\x80\x94',0
1946395081,b'\xe2\x80\x94',rmin Forerunner 93,b'\xe2\x80\x94',0
292903681,b'\xe2\x80\x94',rmin Forerunner 920X,b'451',0
3042620537,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1946843002,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
235026244,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1425485842,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
293031681,b'Puma faas v2\n(735.7 mi)',rmin Forerunner 61,b'\xe2\x80\x94',0
4447208473,"b'Mizuno Wave Rider 20\n(17,302.2 mi)'",rmin Forerunner 4,b'\xe2\x80\x94',0
946702701,"b'ASICS Kayano 21\n(2,938.6 mi)'",rmin Forerunner 23,b'585',0
2325321809,b'\xe2\x80\x94',rmin Forerunner 920X,b'434',0
1891156598,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
1946422974,"b'Nike VaporFly 4%\n(2,739.3 mi)'",rmin Forerunner 93,b'614',1
1199382436,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'203',0
218083855,b'\xe2\x80\x94',rmin Forerunner 40,b'\xe2\x80\x94',0
1221305007,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
1221826853,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
1524543632,"b'ASICS GT-2000 V4\n(1,329.9 mi)'",rmin Forerunner 735X,b'197',0
293147726,b'\xe2\x80\x94',rmin Forerunner 61,b'\xe2\x80\x94',0
214797984,b'ASICS GT   2000\n(571.6 mi)',rava iPhone Ap,b'\xe2\x80\x94',0
2292175468,b'Mountain Bear Cruise\n(513.2 mi)',rmin Forerunner 93,b'225',0
1524456141,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
2786158445,b'Nike Next%\n(305.5 mi)',rmin f\xc4\x93nix 5 Plu,b'338',1
401168767,"b'ASICS Cumulus\n(11,276.8 mi)'",rmin Forerunner 61,b'\xe2\x80\x94',0
1845183465,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
1263153488,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
293109888,b'\xe2\x80\x94',rmin Forerunner 22,b'\xe2\x80\x94',0
555645881,"b'Nike Free 4.0\n(1,038.8 mi)'",rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
550113015,b'adidas Energy Boost\n(720.5 mi)',rmin Forerunner 910X,b'\xe2\x80\x94',0
2748902766,b'Nike Zoom Fly\n(153.4 mi)',rmin Forerunner 23,b'\xe2\x80\x94',0
420437618,b'\xe2\x80\x94',rmin Forerunner 62,b'\xe2\x80\x94',0
451631835,b'\xe2\x80\x94',rmin Forerunner 62,b'\xe2\x80\x94',0
1221547647,b'\xe2\x80\x94',rmin Forerunner 93,b'\xe2\x80\x94',0
134929144,b'\xe2\x80\x94',rmin Forerunner 910X,b'\xe2\x80\x94',0
293988795,b'\xe2\x80\x94',rmin Forerunner 61,b'\xe2\x80\x94',0
1946549274,b'\xe2\x80\x94',rmin Forerunner 735X,b'\xe2\x80\x94',0
425177375,b'Brooks racer st\n(381.3 mi)',rmin Forerunner 920X,b'357',0
740307382,b'\xe2\x80\x94',rmin Forerunner 23,b'221',0
1943871890,b'\xe2\x80\x94',rmin Forerunner 645 Musi,b'\xe2\x80\x94',0
739935862,b'\xe2\x80\x94',rmin Forerunner 23,b'687',0
2325494693,b'Nike Zoom Vaporfly 4% #1\n(464.1 mi)',rmin Forerunner 23,b'373',1
1262898470,b'\xe2\x80\x94',rmin Forerunner 63,b'\xe2\x80\x94',0
292832234,b'\xe2\x80\x94',rava iPhone Ap,b'\xe2\x80\x94',0
1514915206,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
1200195995,b'\xe2\x80\x94',rmin Forerunner 62,b'\xe2\x80\x94',0
1890635299,b'\xe2\x80\x94',rmin Forerunner 93,b'\xe2\x80\x94',0
2786695706,b'HOKA ONE ONE Cavu\n(635.7 mi)',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
1946788173,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
549496972,b'ASICS Kayano 21\n(651.5 mi)',unto Ambi,b'\xe2\x80\x94',0
1946243256,"b'Merrell Barefoot\n(8,902.7 mi)'",rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
587104708,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
1199213136,b'Nike VaporFly 4%\n(155.0 mi)',rmin Forerunner 23,b'373',1
289306176,b'ASICS Hyper Speed 6 (2e paire)\n(396.5 mi)',rmin Forerunner 62,b'\xe2\x80\x94',0
424739035,b'New Balance 1400 v2\n(311.6 mi)',rmin Forerunner 62,b'\xe2\x80\x94',0
3003999260,b'\xe2\x80\x94',rmin Forerunner 23,b'277',0
1890422143,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
215279906,b'\xe2\x80\x94',rmin Forerunner 920X,b'615',0
1221449822,b'\xe2\x80\x94',rmin Forerunner 93,b'409',0
739572007,b'New Balance 860 V6 - Yellow 2\n(229.0 mi)',rmin Forerunner 63,b'\xe2\x80\x94',0
1954398513,b'Nike Vapor Fly\n(533.6 mi)',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
739697201,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
2305735505,b'Nike Vapor Flyknit 4% (Blue)\n(58.8 mi)',rmin Forerunner 1,b'\xe2\x80\x94',1
1424619119,b'\xe2\x80\x94',ple Watch Series ,b'\xe2\x80\x94',0
425438239,b'Mizuno Wave Rider 17 Blue\n(754.6 mi)',rmin Forerunner 910X,b'\xe2\x80\x94',0
549634716,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
1263044234,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
1890341025,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1512466556,b'Nike zoom vaporfly 4%\n(446.3 mi)',rmin f\xc4\x93nix ,b'355',1
1516711276,"b'Saucony kinvara 7\n(2,304.7 mi)'",rmin Forerunner 23,b'\xe2\x80\x94',0
208448699,b'Nike pegasus 31 azul\n(126.6 mi)',rmin f\xc4\x93nix ,b'\xe2\x80\x94',0
1221283316,b'Nike Zoom Fly\n(135.0 mi)',rmin Forerunner 93,b'\xe2\x80\x94',0
401176297,b'\xe2\x80\x94',unto Ambit3 Spor,b'399',0
1240261940,b'\xe2\x80\x94',rmin Forerunner 62,b'\xe2\x80\x94',0
1525297170,"b'Brooks Ghost\n(10,436.8 mi)'",rmin Forerunner 23,b'\xe2\x80\x94',0
2839111793,b'\xe2\x80\x94',rmin Forerunner 735X,b'\xe2\x80\x94',0
946695154,b'Saucony Type A6\n(231.0 mi)',rmin Forerunner 23,b'399',0
436439480,b'\xe2\x80\x94',rmin Forerunner 22,b'\xe2\x80\x94',0
2325305029,b'Nike Vaporfly 4% Flyknit Red\n(181.2 mi)',rmin f\xc4\x93nix 5S Plu,b'338',1
1525807876,b'ASICS GT-1000\n(980.9 mi)',rmin Forerunner 22,b'\xe2\x80\x94',0
2786952048,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1512672138,b'\xe2\x80\x94',rmin Forerunner 22,b'361',0
991322672,b'\xe2\x80\x94',rmin Forerunner 63,b'\xe2\x80\x94',0
2292270134,b'\xe2\x80\x94',e2\x80\x9,b'\xe2\x80\x94',0
1946197259,b'adidas adizero adios Boost 3\n(204.7 mi)',rmin Forerunner 64,b'376',0
1890378710,b'\xe2\x80\x94',rmin f\xc4\x93nix ,b'321',0
1424545729,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
132790997,b'\xe2\x80\x94',rmin Forerunner 310X,b'\xe2\x80\x94',0
2838828484,b'\xe2\x80\x94',rmin Forerunner 23,b'\xe2\x80\x94',0
946941098,b'\xe2\x80\x94',rmin v\xc3\xadvoactive H,b'\xe2\x80\x94',0
2325342864,b'\xe2\x80\x94',rmin Forerunner 23,b'347',0
1524631388,b'\xe2\x80\x94',rmin Forerunner 920X,b'\xe2\x80\x94',0
2786083977,b'Nike vaporfly next\n(109.3 mi)',rmin Forerunner 23,b'\xe2\x80\x94',1
