activity_id,shoes,device,suffer,vaporfly
402233830,ASICS GT2000\n(801.2 mi),Suunto Ambit,\xe2\x80\x94,0
293251030,\xe2\x80\x94,GPX,\xe2\x80\x94,0
2999953987,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2292178447,\xe2\x80\x94,Garmin Forerunner 235,654,0
1199193558,\xe2\x80\x94,Garmin Forerunner 935,407,0
1199196169,ASICS Gel-Kayano 24\n(328.7 mi),Garmin Forerunner 735XT,460,0
1349092894,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
1890347235,HOKA ONE ONE Mach\n(323.6 mi),Garmin Forerunner 935,321,0
2748689209,Nike Zoom Pegasus 35\n(632.3 mi),Garmin Forerunner 935,440,0
946460420,\xe2\x80\x94,Strava iPhone App,\xe2\x80\x94,0
2292410842,Nike zoom vaporfly 4%\n(46.9 mi),Garmin Forerunner 235,597,1
1296928171,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
2839267417,Nike Next % pink\n(181.8 mi),Garmin Forerunner 945,\xe2\x80\x94,1
600211752,\xe2\x80\x94,Garmin Forerunner 110,\xe2\x80\x94,0
2292137023,\xe2\x80\x94,Garmin Forerunner 735XT,39,0
411102817,\xe2\x80\x94,Garmin Forerunner 225,\xe2\x80\x94,0
1946285030,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
555380113,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
2786288088,Nike Next%\n(251.6 mi),Garmin Forerunner 35,464,1
1263156770,adidas adios boost 3\n(197.8 mi),Suunto,\xe2\x80\x94,0
2325373445,Nike Vaporfly 4% - Flyknit II\n(327.8 mi),Garmin Forerunner 630,299,1
556665348,Brooks racer st\n(73.4 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
1524572563,adidas Supernova 2017 (2nd Pair)\n(569.1 mi),Garmin f\xc4\x93nix 3,548,0
879897853,"adidas TAKUMI REN\n(6,650.5 mi)",\xe2\x80\x94,539,0
1893044498,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
415112077,"Brooks Adrenaline GTS\n(2,968.6 mi)",Garmin Forerunner 220,\xe2\x80\x94,0
293196817,\xe2\x80\x94,Garmin Forerunner 610,\xe2\x80\x94,0
2325324102,\xe2\x80\x94,Garmin v\xc3\xadvoactive 3,\xe2\x80\x94,0
1221335719,\xe2\x80\x94,Garmin f\xc4\x93nix 3,300,0
1221318281,Nike Lunar Racer\n(231.5 mi),Garmin Forerunner 230,\xe2\x80\x94,0
2838785169,\xe2\x80\x94,Garmin Forerunner 630,\xe2\x80\x94,0
2839019078,\xe2\x80\x94,Garmin f\xc4\x93nix 5 Plus,667,0
1845909817,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
1199273925,Nike Streak 6 GYAKUSOU\n(540.3 mi),Garmin Forerunner 630,\xe2\x80\x94,0
401750699,ASICS Gel DS Trainer 20\n(170.6 mi),Garmin Forerunner 610,\xe2\x80\x94,0
2292486227,Nike Vaporfly Flyknit 4%\n(267.6 mi),Garmin Forerunner 235,\xe2\x80\x94,1
946522103,adidas boost\n(393.0 mi),Garmin Forerunner 235,631,0
2292329250,Nike Zoom Fly\n(375.2 mi),Garmin Forerunner 645 Music,491,0
201553280,\xe2\x80\x94,Garmin Forerunner 410,287,0
739708783,"adidas Place Holder\n(5,566.8 mi)",Suunto,\xe2\x80\x94,0
992864666,\xe2\x80\x94,Garmin Forerunner 210,\xe2\x80\x94,0
2786528316,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
2786309680,Nike Vaporfly flyknit\n(92.1 mi),Garmin f\xc4\x93nix 5,332,1
206752727,\xe2\x80\x94,Garmin Forerunner 410,\xe2\x80\x94,0
1404967575,"New Balance Zante 2\n(3,058.5 mi)",Garmin Forerunner 210,\xe2\x80\x94,0
1533050014,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
2325810720,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
1512570523,\xe2\x80\x94,Garmin v\xc3\xadvoactive,\xe2\x80\x94,0
