activity_id,shoes,device,suffer,vaporfly
289630477,ASICS GT-2000 5 Silver/Orange\n(422.8 mi),Garmin Forerunner 205,\xe2\x80\x94,0
132851178,\xe2\x80\x94,Garmin Forerunner 220,174,0
739777327,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
1890466521,New Balance 1400v5\n(669.5 mi),Garmin Forerunner 235,591,0
2294199590,adidas boston 7 bleu\n(577.7 mi),Suunto Spartan Ultra,\xe2\x80\x94,0
2325331062,\xe2\x80\x94,Garmin f\xc4\x93nix 5,258,0
1199269243,"Asolo Hyperspeed\n(11,212.3 mi)",Garmin Forerunner 620,\xe2\x80\x94,0
2838955283,Saucony Type A8\n(334.1 mi),Garmin Forerunner 245,\xe2\x80\x94,0
424733842,Mizuno Sayonara 2\n(407.2 mi),Garmin Forerunner 220,1015,0
2292990775,\xe2\x80\x94,Suunto Spartan Sport Wrist HR Baro,\xe2\x80\x94,0
2838803506,\xe2\x80\x94,Strava iPhone App,\xe2\x80\x94,0
1199141182,HOKA ONE ONE Tracer\n(201.2 mi),Garmin Forerunner 620,381,0
296086785,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
2292112102,Nike Vaporfly\n(30.0 mi),Garmin Forerunner 235,557,1
1199016603,Nike zoom vaporfly 4%\n(309.9 mi),TomTom,\xe2\x80\x94,1
946958549,\xe2\x80\x94,TomTom,340,0
946671531,Saucony Freedom ISO\n(834.1 mi),Garmin Forerunner 920XT,\xe2\x80\x94,0
2292396879,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
2024190656,Nike Vaporfly 4% Flyknit\n(392.6 mi),\xe2\x80\x94,\xe2\x80\x94,1
1221551741,\xe2\x80\x94,Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
1525220663,\xe2\x80\x94,Suunto Ambit3 Sport,\xe2\x80\x94,0
1946832136,\xe2\x80\x94,Garmin Forerunner 935,424,0
1512956835,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
2325453501,Nike zoom vaporfly 4%\n(133.1 mi),Suunto Ambit3 Sport,\xe2\x80\x94,1
2325351042,Nike Zoom Pegasus turbo\n(290.4 mi),Suunto Ambit3 Peak,\xe2\x80\x94,0
424743548,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
2749008491,Nike Pegasus 35\n(290.3 mi),Polar Vantage V,548,0
293785470,Nike Lunaracer\n(61.8 mi),Garmin f\xc4\x93nix 2,\xe2\x80\x94,0
1221504249,\xe2\x80\x94,Garmin v\xc3\xadvoactive,\xe2\x80\x94,0
2359737851,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
2838910354,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
946533195,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
1199367994,\xe2\x80\x94,TomTom,\xe2\x80\x94,0
1513639401,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
739852922,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
556758779,Puma Faas 300 v4\n(662.6 mi),Suunto Ambit3 Sport,\xe2\x80\x94,0
879836832,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
2752226044,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
1512614594,\xe2\x80\x94,Garmin Forerunner 935,351,0
1221222818,\xe2\x80\x94,Garmin f\xc4\x93nix 5,272,0
1199263525,adidas Energy Boost\n(449.9 mi),Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
2325371047,"Salomon\n(7,423.1 mi)",Garmin Forerunner 735XT,302,0
401254806,"HOKA ONE ONE Conquest\n(3,518.4 mi)",Garmin Forerunner 225,449,0
289447992,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
