activity_id,shoes,device,suffer,vaporfly
1938463461,\xe2\x80\x94,Garmin f\xc4\x93nix 5 Plus,\xe2\x80\x94,0
2786111191,\xe2\x80\x94,Garmin Forerunner 945,\xe2\x80\x94,0
556223764,Altra Escalante\n(687.7 mi),Garmin Forerunner 220,\xe2\x80\x94,0
289694135,\xe2\x80\x94,GPX,\xe2\x80\x94,0
2748785759,Nike Pegasus 35 Blk\n(716.1 mi),Garmin Forerunner 935,419,0
2328010666,"Brooks Ghost 11\n(3,852.6 mi)",Garmin Forerunner 235,609,0
2843923388,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2786453232,Nike Next %\n(29.8 mi),Garmin Forerunner 235,\xe2\x80\x94,1
1512842068,Nike Structure 21.3\n(616.0 mi),Garmin Forerunner 235,\xe2\x80\x94,0
290376911,Nike Lunar Flywire\n(389.4 mi),Suunto Ambit2,\xe2\x80\x94,0
137362237,adidas Energy Boost 2 - Black\n(972.3 mi),Garmin Forerunner 110,\xe2\x80\x94,0
1845306608,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
571577970,\xe2\x80\x94,Garmin Forerunner 610,\xe2\x80\x94,0
1199100045,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
1845288612,\xe2\x80\x94,Huami Amazfit Pace,333,0
293109367,"ASICS Orange GT2000\n(2,006.1 mi)",Garmin Forerunner 920XT,\xe2\x80\x94,0
484844042,Nike Pegasus 37\n(547.3 mi),Garmin Forerunner 610,\xe2\x80\x94,0
1222404826,\xe2\x80\x94,Garmin Forerunner 410,\xe2\x80\x94,0
2325334197,\xe2\x80\x94,Garmin v\xc3\xadvoactive HR,\xe2\x80\x94,0
424854931,Saucony Kinvara 6 whitish\n(593.2 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
2748836424,HOKA ONE ONE Clifton 6\n(446.7 mi),Garmin f\xc4\x93nix 5,373,0
2325426504,\xe2\x80\x94,Garmin Forerunner 935,446,0
