activity_id,shoes,device,suffer
1052659650,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1666007311,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'359'
739742222,b'Brooks Pureflow\n(322.6 mi)',b'Garmin Forerunner 235',b'733'
2326841948,"b'adidas Boston 6\n(3,268.3 mi)'",b'Suunto Ambit3 Peak',b'421'
549394289,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
289236555,b'New Balance 890v4 Boston 2nd pair\n(474.5 mi)',b'Garmin Forerunner 620',b'563'
2292546299,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'452'
2838932874,b'Nike Vaporfly Next %\n(52.6 mi)',b'Garmin Forerunner 630',b'\xe2\x80\x94'
1946595254,"b'Nike Zoom Fly Black\n(4,058.5 mi)'",b'Garmin v\xc3\xadvoactive',b'\xe2\x80\x94'
1262963266,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'\xe2\x80\x94'
1524578347,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'306'
2839150434,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5X Plus',b'218'
549646760,b'adidas adios 3\n(115.0 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
132749127,b'Brooks Pure Cadence #5\n(305.5 mi)',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
405629395,b'\xe2\x80\x94',b'Garmin Forerunner 110',b'\xe2\x80\x94'
401198758,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'227'
1845540966,b'Saucony Kinvara 9 Vizi red\n(413.2 mi)',b'Garmin Forerunner 630',b'\xe2\x80\x94'
1199220015,b'Nike Zoom Fly Ice Blue\n(437.3 mi)',b'Garmin f\xc4\x93nix 5X',b'\xe2\x80\x94'
289530279,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
290203760,b'adidas adizero (orange)\n(390.6 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
206610835,"b'New Balance Minimus Zero\n(1,131.2 mi)'",b'\xe2\x80\x94',b'\xe2\x80\x94'
542499483,b'\xe2\x80\x94',b'Garmin Forerunner 10',b'\xe2\x80\x94'
1845406527,b'\xe2\x80\x94',b'Garmin Forerunner 645 Music',b'\xe2\x80\x94'
216223455,"b'ASICS NIMBUS 15 BLUE\n(2,059.4 mi)'",b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
176475080,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
2292177713,b'Nike Vaporfly (blue)\n(199.6 mi)',b'Garmin Forerunner 735XT',b'66'
739696319,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1523394472,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'334'
549542051,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
