activity_id,shoes,device,suffer,vaporfly
549579933,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2786858564,Marathon Magic\n(90.1 mi),Garmin Forerunner 935,\xe2\x80\x94,0
1199042432,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
424859348,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
2325302943,Nike Vaporfly 4% - Crimson #3\n(112.5 mi),Garmin Forerunner 920XT,\xe2\x80\x94,1
643304813,\xe2\x80\x94,GPX,\xe2\x80\x94,0
2292442723,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
258173522,ASICS TARTHERZEAL 2\n(252.7 mi),Strava Android App,\xe2\x80\x94,0
289293220,"Saucony\n(14,142.0 mi)",Garmin Forerunner 220,\xe2\x80\x94,0
953139313,\xe2\x80\x94,Garmin Forerunner 210,\xe2\x80\x94,0
2292195131,Nike VaporFly 4%\n(168.7 mi),Garmin Forerunner 230,\xe2\x80\x94,1
558303129,"Nike Pegasus blue\n(1,749.2 mi)",Garmin Forerunner 920XT,\xe2\x80\x94,0
2332532479,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
291392974,\xe2\x80\x94,Garmin Forerunner 910XT,\xe2\x80\x94,0
1890345138,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
2749211165,"adidas BOSTON BOOST\n(6,125.5 mi)",Garmin Forerunner 920XT,\xe2\x80\x94,0
2292301309,\xe2\x80\x94,Garmin f\xc4\x93nix 5,76,0
549564423,"adidas Boston\n(1,702.5 mi)",Garmin Forerunner 610,\xe2\x80\x94,0
551314878,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
2786917208,\xe2\x80\x94,Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
2838952071,ASICS FuzeX\n(446.1 mi),Garmin Forerunner 920XT,1245,0
549359019,New Balance 1500v2\n(372.1 mi),Garmin Forerunner 920XT,373,0
206981718,"Brooks Ghost\n(1,773.7 mi)",Garmin Forerunner 620,\xe2\x80\x94,0
555358078,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1221586149,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
1263056971,"On Cloudsurfer\n(2,012.0 mi)",Garmin Forerunner 35,415,0
946815886,\xe2\x80\x94,Strava iPhone App,\xe2\x80\x94,0
162392188,Mizuno Wave Rider 17\n(376.1 mi),Garmin Forerunner 10,\xe2\x80\x94,0
1264933549,New Balance 860\n(574.8 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
1199194534,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
