activity_id,shoes,device,suffer,vaporfly
2292153015,\xe2\x80\x94,Garmin Forerunner 645 Music,313,0
1512491665,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
220081257,\xe2\x80\x94,TomTom,\xe2\x80\x94,0
289744083,Saucony kinvara 5\n(132.2 mi),Garmin Forerunner 405,\xe2\x80\x94,0
2839423598,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
1890457082,Nike zoom vaporfly 4%\n(179.7 mi),Garmin Forerunner 225,394,1
1845169633,adidas adizero adios AKTIV\n(857.3 mi),Garmin f\xc4\x93nix 5,239,0
739710318,\xe2\x80\x94,Garmin Forerunner 920XT,664,0
563129681,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1080799874,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
549449852,"Saucony\n(14,148.0 mi)",Garmin Forerunner 220,\xe2\x80\x94,0
1512571601,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
1221381715,Nike Lunar Racer 6 - Green Sept 2017\n(156.3 mi),Garmin Forerunner 230,301,0
1890484995,\xe2\x80\x94,Garmin Forerunner 735XT,435,0
1262917251,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
2292154495,Nike Vapor Flyknit 4%\n(84.8 mi),Garmin Forerunner 235,256,1
2326570012,New Balance 1500v4\n(349.4 mi),Garmin Forerunner 220,\xe2\x80\x94,0
1525025832,Nike Pegasus 35 - Grey/Red 2018\n(342.5 mi),Garmin v\xc3\xadvoactive HR,\xe2\x80\x94,0
2786206740,ASICS DS-Trainer 24\n(123.1 mi),Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
401767617,K-Swiss Ironman (retired)\n(251.3 mi),Garmin Forerunner 620,\xe2\x80\x94,0
1946619706,\xe2\x80\x94,Garmin Forerunner 630,\xe2\x80\x94,0
2786240237,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
549521206,Brooks Adrenaline GTS\n(267.6 mi),Garmin Forerunner 220,\xe2\x80\x94,0
1845488521,Brooks PureCadence 6 - Blue 2\n(772.1 mi),Garmin Forerunner 920XT,\xe2\x80\x94,0
555496941,"adidas Adios Boost 2\n(3,844.5 mi)",Garmin Forerunner 220,\xe2\x80\x94,0
1891039530,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
290032394,New Balance fresh foam\n(630.2 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
2748752104,Nike Vaporfly 4% Flyknit\n(155.5 mi),Garmin Forerunner 735XT,624,1
1199211513,\xe2\x80\x94,Garmin Forerunner 630,315,0
1890347948,\xe2\x80\x94,Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
2292291666,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
879839000,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1897355049,\xe2\x80\x94,Garmin Forerunner 230,\xe2\x80\x94,0
742961898,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
1947599389,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
132839586,\xe2\x80\x94,Garmin Forerunner 620,326,0
555511514,\xe2\x80\x94,TomTom,\xe2\x80\x94,0
207843284,\xe2\x80\x94,Garmin Forerunner 10,\xe2\x80\x94,0
1425505040,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
216602486,"adidas boost\n(1,716.3 mi)",Garmin f\xc4\x93nix 2,367,0
1525222224,\xe2\x80\x94,TomTom,\xe2\x80\x94,0
2292611957,\xe2\x80\x94,Garmin f\xc4\x93nix 5,\xe2\x80\x94,0
2326849851,\xe2\x80\x94,Garmin Forerunner 235,664,0
1512382866,\xe2\x80\x94,Garmin Forerunner 235,598,0
2786914375,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
946712978,\xe2\x80\x94,GPX,\xe2\x80\x94,0
2300185825,"Nike Pegasus 35\n(6,070.5 mi)",Garmin f\xc4\x93nix 3,318,0
424639197,\xe2\x80\x94,Strava iPhone App,\xe2\x80\x94,0
549377495,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1294926086,\xe2\x80\x94,Garmin Forerunner 235,368,0
143429964,\xe2\x80\x94,\xe2\x80\x94,470,0
957473655,\xe2\x80\x94,Garmin Forerunner 225,532,0
1525958236,"Saucony Jazz 17 Blue\n(19,152.7 mi)",Garmin Forerunner 910XT,\xe2\x80\x94,0
739706693,"Nike Terra Kiger 2\n(2,287.0 mi)",\xe2\x80\x94,231,0
1221944951,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1946612024,Nike VaporFly 4%\n(248.3 mi),Garmin Forerunner 910XT,\xe2\x80\x94,1
2748752882,\xe2\x80\x94,Garmin Forerunner 735XT,328,0
556293436,\xe2\x80\x94,Garmin Forerunner 225,\xe2\x80\x94,0
549488103,Nike Streak 3 Boston\n(257.1 mi),Garmin f\xc4\x93nix 2,\xe2\x80\x94,0
2786614196,Nike Pink\n(31.3 mi),Garmin Forerunner 230,\xe2\x80\x94,0
3862062139,\xe2\x80\x94,\xe2\x80\x94,298,0
946512556,\xe2\x80\x94,Garmin Forerunner 235,707,0
424772350,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
549738643,\xe2\x80\x94,Garmin Forerunner 235,418,0
2786364360,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
1512383287,"ASICS Hyper Speed 7 Jaune\n(8,854.0 mi)",Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
1514677602,"HOKA ONE ONE Clifton2\n(7,826.9 mi)",\xe2\x80\x94,745,0
558773631,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
556537526,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
