activity_id,shoes,device,suffer
2749130718,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
293253365,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
1299482703,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'\xe2\x80\x94'
2325513079,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
293506950,b'adidas adios adizero boost\n(210.6 mi)',b'Garmin Forerunner 205',b'\xe2\x80\x94'
207479666,b'\xe2\x80\x94',b'Garmin Forerunner 405',b'\xe2\x80\x94'
2292166494,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5X',b'\xe2\x80\x94'
2839071427,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1946235015,"b'Brooks Ghost 11\n(2,915.6 mi)'",b'Garmin Forerunner 735XT',b'\xe2\x80\x94'
1263067280,b'Mizuno Wave Rider 20\n(87.1 mi)',b'Garmin Forerunner 225',b'357'
1946505988,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
555875922,b'\xe2\x80\x94',b'Garmin Forerunner 405',b'\xe2\x80\x94'
2839141936,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 6S Pro',b'\xe2\x80\x94'
289299760,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
946827654,"b'Nike Zoom Flyknit Streak\n(4,182.1 mi)'",b'Garmin Forerunner 220',b'\xe2\x80\x94'
1228656703,b'New Balance MRC1600v2\n(108.9 mi)',b'Garmin f\xc4\x93nix 3',b'381'
415322338,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1850730451,b'adidas adizero adios\n(431.4 mi)',b'Garmin Forerunner 210',b'617'
2326326410,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'430'
1263046058,b'adidas adios boost\n(538.6 mi)',b'Suunto Ambit2',b'665'
206526754,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
1891184567,b'\xe2\x80\x94',b'Garmin Forerunner 35',b'612'
2786124499,b'Nike Vaporfly Next %\n(314.5 mi)',b'Garmin Forerunner 235',b'404'
2786204842,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2749016528,b'Nike Vaporfly Next% Gr\xc3\xb8nn\n(182.5 mi)',b'Garmin Forerunner 645 Music',b'285'
2049252321,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
557705145,b'Saucony kinvara 5\n(263.2 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
1946741809,b'\xe2\x80\x94',b'Suunto 9',b'\xe2\x80\x94'
1524589607,b'HOKA ONE ONE Arahi (Blue/Oange)\n(596.4 mi)',b'Garmin Forerunner 935',b'\xe2\x80\x94'
488681615,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
879845733,b'adidas Japan2 boost\n(139.9 mi)',b'\xe2\x80\x94',b'\xe2\x80\x94'
2786356677,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'375'
946542309,b'New Balance 1400 V3\n(299.6 mi)',b'Suunto Ambit3 Sport',b'\xe2\x80\x94'
1424579969,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'\xe2\x80\x94'
1622150387,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
739604567,b'Brooks Hyperion\n(212.7 mi)',b'Garmin Forerunner 25',b'\xe2\x80\x94'
1512456786,b'adidas BOSTON BOOST\n(290.1 mi)',b'Suunto Ambit3 Peak',b'\xe2\x80\x94'
1221306311,b'Nike Zoom Fly (Orange)\n(620.1 mi)',b'Garmin Forerunner 630',b'565'
2325686598,"b'adidas Supernova Glide Boost\n(4,966.0 mi)'",b'Garmin Forerunner 230',b'\xe2\x80\x94'
2786809941,"b'Altra Escalante\n(4,726.0 mi)'",b'Garmin f\xc4\x93nix 6X',b'456'
2325365919,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
293155924,b'\xe2\x80\x94',b'Garmin Forerunner 405',b'\xe2\x80\x94'
2790973280,b'\xe2\x80\x94',b'Garmin Forerunner 15',b'\xe2\x80\x94'
555882624,b'adidas Ultra Boost - 2nd pair\n(917.9 mi)',b'Garmin Forerunner 220',b'\xe2\x80\x94'
555601469,b'adidas Adizero Takumi\n(501.9 mi)',b'TomTom',b'\xe2\x80\x94'
1512392148,b'\xe2\x80\x94',b'Garmin Forerunner 225',b'\xe2\x80\x94'
1424740339,b'HOKA ONE ONE Arahi\n(642.2 mi)',b'Garmin Forerunner 235',b'311'
739653883,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
740944750,b'\xe2\x80\x94',b'Garmin Forerunner 25',b'\xe2\x80\x94'
1200557375,b'Nike Langtur\n(35.2 mi)',b'Garmin Forerunner 235',b'430'
2749072662,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
550698560,"b'ASICS Nimbus 17\n(1,374.3 mi)'",b'Garmin Forerunner 620',b'354'
427808866,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
1199057344,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
1512506163,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
2387779149,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1199544112,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
549807737,b'\xe2\x80\x94',b'Garmin Forerunner 305',b'\xe2\x80\x94'
215901337,"b'ASICS GT2000\n(1,436.5 mi)'",b'GPX',b'\xe2\x80\x94'
1263057604,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
730667855,b'\xe2\x80\x94',b'GPX',b'\xe2\x80\x94'
739643185,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 2',b'\xe2\x80\x94'
1262908699,b'Mizuno Wave Catalyst 2 (Red / Blue)\n(402.4 mi)',b'Garmin Forerunner 735XT',b'362'
1320771679,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
550016521,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
947358092,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1424597843,b'\xe2\x80\x94',b'Apple Watch Series 3',b'\xe2\x80\x94'
1847149788,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1022497649,b'Nike winflo\n(26.5 mi)',b'Garmin Forerunner 10',b'\xe2\x80\x94'
1425253106,b'\xe2\x80\x94',b'\xe2\x80\x94',b'606'
2749138145,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
