activity_id,shoes,device,suffer,vaporfly
2664128964,"adidas unbekannt\n(3,658.7 mi)",Polar M400,810,0
2292610991,Saucony Freedom ISO\n(86.6 mi),Garmin Forerunner 220,\xe2\x80\x94,0
1845381929,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
401440313,adidas Boston Boost 5\n(103.9 mi),Garmin Forerunner 405,\xe2\x80\x94,0
946645440,Saucony Kinvara 8\n(554.4 mi),Garmin Forerunner 620,459,0
958179046,Saucony Guide 9 - Blue\n(649.5 mi),Garmin Forerunner 610,\xe2\x80\x94,0
2838860930,Nike VaporFly 4%\n(134.6 mi),Apple Watch Series 5,753,1
2325920254,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2325583551,\xe2\x80\x94,Garmin Forerunner 235,351,0
956544804,\xe2\x80\x94,Garmin Forerunner 910XT,348,0
1525297672,Nike Lunar Tempo 2\n(149.0 mi),\xe2\x80\x94,548,0
1512686308,\xe2\x80\x94,Garmin v\xc3\xadvoactive,\xe2\x80\x94,0
1221144637,Nike zoom vaporfly 4%\n(120.1 mi),Garmin v\xc3\xadvoactive HR,\xe2\x80\x94,1
1424607458,\xe2\x80\x94,Garmin Forerunner 935,422,0
2328209155,"Nike Pegasus 33\n(2,005.4 mi)",Garmin Forerunner 920XT,\xe2\x80\x94,0
740284535,\xe2\x80\x94,Garmin Forerunner 620,366,0
556174148,\xe2\x80\x94,TomTom,\xe2\x80\x94,0
3641181615,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
739745885,ASICS DS trainer 21\n(366.8 mi),Polar V800,261,0
879870257,\xe2\x80\x94,Polar V800,\xe2\x80\x94,0
2292276263,\xe2\x80\x94,Garmin Forerunner 235,443,0
2790523883,Brooks Prue Cadence\n(231.5 mi),Suunto Ambit2 R,\xe2\x80\x94,0
549454912,Brooks racer st\n(124.4 mi),Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
2840290829,"Saucony kinvara 10\n(2,439.2 mi)",Garmin Forerunner 235,308,0
1890647370,\xe2\x80\x94,Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
2839164235,"Nike Pegasus Turbo Blue/Orange\n(1,960.5 mi)",Garmin Forerunner 935,\xe2\x80\x94,0
946505242,\xe2\x80\x94,Garmin v\xc3\xadvoactive,\xe2\x80\x94,0
555850364,Puma Faas\n(336.6 mi),Polar V800,\xe2\x80\x94,0
739533464,"New Balance Vazee Pace\n(1,479.2 mi)",TomTom,\xe2\x80\x94,0
1199412967,adidas Takumi Sen 3\n(300.1 mi),Suunto Ambit2,\xe2\x80\x94,0
3153698514,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2838875005,\xe2\x80\x94,Polar M430,527,0
2786632104,Nike ZoomX Vaporfly Next%\n(107.7 mi),Garmin f\xc4\x93nix 5 Plus,450,1
1293974083,\xe2\x80\x94,Garmin v\xc3\xadvoactive HR,\xe2\x80\x94,0
2325591062,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
2838932708,Saucony kinvara 10\n(691.1 mi),Garmin f\xc4\x93nix 5S Plus,\xe2\x80\x94,0
334320489,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
293205499,"Brooks Green Silence (blue/red)\n(3,560.5 mi)",Garmin Forerunner 610,\xe2\x80\x94,0
555610391,Brooks Ghost 8 - Feb 2016\n(738.2 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
1263074774,"Nike Free Flyknit White\n(1,099.5 mi)",Garmin Forerunner 235,229,0
401481970,\xe2\x80\x94,Garmin Forerunner 205,\xe2\x80\x94,0
1030164031,\xe2\x80\x94,Garmin Forerunner 110,\xe2\x80\x94,0
2786242379,Nike Zoom Fly SP\n(361.8 mi),Garmin Forerunner 735XT,\xe2\x80\x94,0
1512365074,\xe2\x80\x94,Garmin Forerunner 630,\xe2\x80\x94,0
1263074796,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2839372500,Nike Vapor Fly Next %\n(30.1 mi),Garmin Forerunner 945,\xe2\x80\x94,1
1950575268,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1902706334,Brooks Asteria\n(115.2 mi),Garmin Forerunner 235,96,0
2841434143,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
2786214869,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1890506149,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
425123846,adidas adios boost2\n(500.8 mi),Garmin Forerunner 220,\xe2\x80\x94,0
215628985,Brooks Ravenna\n(590.4 mi),Garmin Forerunner 910XT,\xe2\x80\x94,0
2292274687,\xe2\x80\x94,Garmin Forerunner 35,\xe2\x80\x94,0
555857560,Mizuno Wave Hitogami 2\n(345.1 mi),Garmin Forerunner 225,\xe2\x80\x94,0
549460080,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
401236606,New Balance 1500v1\n(785.8 mi),Garmin Forerunner 920XT,\xe2\x80\x94,0
733678380,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
2838807907,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
739651677,Nike Pegasus 33\n(762.2 mi),Garmin Forerunner 620,181,0
1255726042,\xe2\x80\x94,Garmin Forerunner 10,\xe2\x80\x94,0
1891873332,Saucony Kinvara 9\n(89.7 mi),Polar M430,\xe2\x80\x94,0
2748694089,Nike ZoomX Vaporfly Next%\n(77.4 mi),Garmin f\xc4\x93nix 3,341,1
549467078,adidas takumi ren boost white\n(396.0 mi),Polar V800,646,0
2326803779,\xe2\x80\x94,Garmin Forerunner 645 Music,198,0
306368128,"Altra Instinct 2.0\n(5,928.4 mi)",Garmin Forerunner 610,\xe2\x80\x94,0
293193063,adidas Sequence 7 Boost\n(418.2 mi),Garmin Forerunner 620,\xe2\x80\x94,0
2292558795,"Saucony any\n(14,475.5 mi)",Garmin Forerunner 25,\xe2\x80\x94,0
1426490643,\xe2\x80\x94,\xe2\x80\x94,\xe2\x80\x94,0
425305364,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
132965436,Brooks Pure Cadence #2 Gray and Orange\n(210.0 mi),\xe2\x80\x94,\xe2\x80\x94,0
2749043088,New Balance 1400V6\n(391.8 mi),Garmin f\xc4\x93nix 5,366,0
946586335,Nike Lunarracer\n(426.1 mi),Garmin f\xc4\x93nix 3,402,0
4789435753,"adidas \xe3\x82\xa2\xe3\x83\x87\xe3\x82\xa3\xe3\x82\xbc\xe3\x83\xad\n(1,140.0 mi)",Garmin Connect,\xe2\x80\x94,0
946476469,HOKA ONE ONE Clayton (blue)\n(707.5 mi),Suunto,\xe2\x80\x94,0
1204770395,"HOKA ONE ONE Clifton\n(3,317.7 mi)",Garmin Forerunner 910XT,506,0
1525567739,Nike Air Zoom Elite 9\n(689.5 mi),Garmin f\xc4\x93nix 3,413,0
549736334,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
739761138,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
1524939713,ASICS GEL-DS Trainer 20\n(373.9 mi),Garmin Forerunner 230,\xe2\x80\x94,0
290838955,\xe2\x80\x94,Garmin Forerunner 610,\xe2\x80\x94,0
289353674,Altra One^2 Boston\n(67.3 mi),Garmin Forerunner 620,\xe2\x80\x94,0
2292605268,"Saucony Guide\n(4,844.6 mi)",Garmin Forerunner 230,\xe2\x80\x94,0
1488328086,Saucony Kinvara 8\n(967.9 mi),Garmin Forerunner 410,\xe2\x80\x94,0
411476298,ASICS Gel Nimbus 17\n(370.9 mi),Garmin Forerunner 210,\xe2\x80\x94,0
1512549260,\xe2\x80\x94,Garmin Forerunner 935,266,0
1512386884,\xe2\x80\x94,Garmin Forerunner 235,327,0
555247914,Mizuno Wave Inspire 11\n(833.0 mi),Garmin v\xc3\xadvoactive,\xe2\x80\x94,0
896337833,"adidas adizero Boston Boost 5 (orange/grau) alt!\n(2,313.2 mi)",GPX,\xe2\x80\x94,0
555398989,ASICS Ds - orange\n(241.6 mi),Garmin Forerunner 235,\xe2\x80\x94,0
2839174308,Nike Vaporfly Next%\n(57.3 mi),Garmin Forerunner 935,\xe2\x80\x94,1
879834865,\xe2\x80\x94,Garmin Forerunner 735XT,\xe2\x80\x94,0
549456086,adidas Boston\n(464.4 mi),Garmin Forerunner 920XT,\xe2\x80\x94,0
2325622512,Nike VaporFly 4%\n(269.0 mi),Suunto Spartan Sport Wrist HR Baro,319,1
739720063,"Saucony Mirage\n(3,355.1 mi)",Garmin Forerunner 310XT,665,0
2787103525,\xe2\x80\x94,Garmin Forerunner 645,\xe2\x80\x94,0
1512918571,\xe2\x80\x94,Garmin Forerunner 630,\xe2\x80\x94,0
2786112953,\xe2\x80\x94,Garmin Forerunner 235,\xe2\x80\x94,0
2325313422,Nike Zoom Pegasus turbo\n(445.1 mi),Garmin Forerunner 620,\xe2\x80\x94,0
425251067,adidas boost bost #5\n(351.9 mi),Garmin Forerunner 225,\xe2\x80\x94,0
