activity_id,shoes,device,suffer,vaporfly
1524609012,"Saucony Virrata\n(14,109.6 mi)",Garmin Forerunner 935,\xe2\x80\x94,0
1526014047,Brooks Glycerin\n(802.2 mi),Suunto Ambit3 Sport,\xe2\x80\x94,0
134554676,ASICS Gel numbus 15\n(249.0 mi),Garmin Forerunner 205,\xe2\x80\x94,0
879827191,\xe2\x80\x94,Garmin Forerunner 225,\xe2\x80\x94,0
2786293069,Nike ZoomX Vaporfly Next%\n(59.6 mi),Garmin Forerunner 245,\xe2\x80\x94,1
2748980344,Nike VaporFly 4%\n(79.6 mi),Garmin Forerunner 235,284,1
550092062,adidas Ultra Boost\n(438.0 mi),Garmin Forerunner 15,\xe2\x80\x94,0
739747330,Nike Lunarglide7\n(135.4 mi),Garmin Forerunner 920XT,\xe2\x80\x94,0
1424612109,Saucony Ride 10\n(263.5 mi),Garmin Forerunner 735XT,\xe2\x80\x94,0
549526196,adidas Boston 5\n(156.7 mi),Garmin Forerunner 230,\xe2\x80\x94,0
946653542,adidas adizero B's\n(210.6 mi),Garmin Forerunner 220,\xe2\x80\x94,0
1846587740,Nike Air Zoom Fly\n(251.5 mi),Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
1263018996,\xe2\x80\x94,Garmin Forerunner 220,627,0
1946582549,"Skechers GoRun6\n(2,379.8 mi)",Garmin Forerunner 235,\xe2\x80\x94,0
200473151,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
1512557668,Nike Vaporfly\n(315.8 mi),Garmin Forerunner 620,\xe2\x80\x94,1
555451750,Saucony kinvara 6\n(308.5 mi),Garmin Forerunner 620,\xe2\x80\x94,0
289201039,Saucony kinvara 5\n(525.1 mi),Garmin Forerunner 920XT,725,0
2294317281,\xe2\x80\x94,Garmin Forerunner 645 Music,\xe2\x80\x94,0
555448643,"adidas adidas adizero adios boost - neon red\n(2,728.2 mi)",Garmin f\xc4\x93nix 3,128,0
1524585611,\xe2\x80\x94,Garmin Forerunner 235,682,0
1211656661,\xe2\x80\x94,Garmin Forerunner 220,\xe2\x80\x94,0
1264205909,\xe2\x80\x94,Garmin Forerunner 15,\xe2\x80\x94,0
2748978392,adidas adios 4\n(152.9 mi),Garmin Forerunner 235,138,0
1221242686,Mizuno Wave Hitogami 3\n(206.3 mi),Garmin f\xc4\x93nix 3,\xe2\x80\x94,0
1512480351,\xe2\x80\x94,Garmin Forerunner 630,482,0
739724231,Brooks PureCadence\n(534.8 mi),Suunto,\xe2\x80\x94,0
549496640,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
1524668295,\xe2\x80\x94,Garmin f\xc4\x93nix 5,530,0
1524525970,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
209492012,\xe2\x80\x94,Garmin Forerunner 620,\xe2\x80\x94,0
2786333462,\xe2\x80\x94,Garmin Forerunner 245 Music,644,0
214917320,Saucony\n(358.3 mi),\xe2\x80\x94,\xe2\x80\x94,0
2326197995,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
1891162482,\xe2\x80\x94,Garmin Forerunner 935,\xe2\x80\x94,0
549459152,\xe2\x80\x94,Garmin Forerunner 920XT,\xe2\x80\x94,0
879819625,\xe2\x80\x94,Garmin Forerunner 225,\xe2\x80\x94,0
