activity_id,shoes,device,suffer
2748775785,b'Skechers Razor 3 Hyper\n(104.3 mi)',b'Garmin Forerunner 935',b'300'
1946210640,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
1524537733,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'\xe2\x80\x94'
1524582626,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1199023931,b'On Cloud Berlin Marathon\n(65.0 mi)',b'TomTom',b'\xe2\x80\x94'
289315168,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
549422037,b'adidas Adios Boost 2\n(358.1 mi)',b'Garmin Forerunner 310XT',b'132'
1525240222,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'375'
549534377,b'New Balance 1400(v3).8\n(314.8 mi)',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1844990368,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'549'
2839142225,b'Nike Pegasus Turbo 2/Black\n(312.0 mi)',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
879837596,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1222741791,b'\xe2\x80\x94',b'Garmin Forerunner 225',b'259'
344552518,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1845343479,b'Saucony Fastwitch 6\n(114.7 mi)',b'Garmin Forerunner 935',b'481'
1221343164,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
2325340631,b'\xe2\x80\x94',b'Garmin v\xc3\xadvoactive 3',b'303'
555674251,b'Brooks PureConnect\n(309.9 mi)',b'Garmin Forerunner 920XT',b'270'
556700994,"b'ASICS 33FA\n(1,031.0 mi)'",b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
1519569892,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1524858827,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
2749047039,b'Nike Next %\n(26.3 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
412294924,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
292879706,b'adidas adizero\n(186.6 mi)',b'Garmin Forerunner 410',b'\xe2\x80\x94'
1947661066,b'\xe2\x80\x94',b'Garmin Forerunner 210',b'\xe2\x80\x94'
555396311,b'ASICS GT2000v4 Black/Yellow\n(193.6 mi)',b'Garmin Forerunner 235',b'\xe2\x80\x94'
289245152,b'Newton Elite\n(373.2 mi)',b'Garmin Forerunner 920XT',b'326'
549790360,b'Brooks Launch\n(802.1 mi)',b'Garmin f\xc4\x93nix 2',b'711'
